sample,GZMK_expr,NKG7_expr,GNLY_expr,KLRD1_expr,PRF1_expr,GZMB_expr,gzmk_like_score,status,status_order
Sample2,0.22719262765388318,4.099249931560652,4.4595017047508385,2.7015772975009713,2.574411282743696,2.9122486098329303,2.8718803903665866,Asymptomatic,0
Sample3,1.3315404589790096,3.528534423027768,3.8335266590951136,2.8524050336445086,2.2457537047323917,1.2930192354762182,2.8865016436866,Asymptomatic,0
Sample3A,0.24890579885801214,4.0788693437671215,4.439253907631762,2.6985502997880233,3.0979739277322054,3.033103742295705,2.86639483751123,Asymptomatic,0
Sample4,0.4827602417727083,3.8835368789070923,4.101451049965553,2.794983991001374,2.591688481843484,2.640752235715209,2.815683040411682,Asymptomatic,0
Sample5,0.38874447728850026,3.6877943228953085,3.649499697675253,2.677924663165265,1.139392499284223,1.7695019935029546,2.600990790256082,Asymptomatic,0
Sample1,0.7842907072695368,3.5751046116779306,3.8987364685711037,2.538880799062855,1.752789176549747,1.9506234037620058,2.6992531466453564,Symptomatic,1
Sample1G,0.21260959050431655,3.7463499104269466,3.3281912739566737,2.20008195773888,2.1333657718400745,2.42165906921549,2.371808183156704,Symptomatic,1
