sample,GZMK_expr,NKG7_expr,GNLY_expr,KLRD1_expr,PRF1_expr,GZMB_expr,FCGR3A_expr,TYROBP_expr,GZMK-like score,Cytotoxic core score,NK core score,Cytotoxic/NK effector,status,group_order
Sample2,0.22719262765388318,4.099249931560652,4.4595017047508385,2.7015772975009713,2.574411282743696,2.9122486098329303,2.1758299175361375,1.9281614367957451,2.8718803903665866,3.3493977652778177,3.2971225926520518,2.97871145438871,Asymptomatic,0
Sample3,1.3315404589790096,3.528534423027768,3.8335266590951136,2.8524050336445086,2.2457537047323917,1.2930192354762182,0.690383332703286,2.7518395080081652,2.8865016436866,2.7506478111952,3.2415764059438885,2.456494556669636,Asymptomatic,0
Sample3A,0.24890579885801214,4.0788693437671215,4.439253907631762,2.6985502997880233,3.0979739277322054,3.033103742295705,2.128145191840676,2.869534434599096,2.86639483751123,3.4695502442429635,3.5215519964465005,3.1922044068077984,Asymptomatic,0
Sample4,0.4827602417727083,3.8835368789070923,4.101451049965553,2.794983991001374,2.591688481843484,2.640752235715209,1.165225384825739,2.06616998477364,2.815683040411682,3.2024825274865427,3.211535476161915,2.749115429576013,Asymptomatic,0
Sample5,0.38874447728850026,3.6877943228953085,3.649499697675253,2.677924663165265,1.139392499284223,1.7695019935029546,0.9209366549895346,2.051343286583835,2.600990790256082,2.584822635304601,3.0166404925799153,2.270913302585196,Asymptomatic,0
Sample1,0.7842907072695368,3.5751046116779306,3.8987364685711037,2.538880799062855,1.752789176549747,1.9506234037620058,1.083733873974504,2.5822627262333793,2.6992531466453564,2.7432268919247287,3.1487461513863173,2.483161579975932,Symptomatic,1
Sample1G,0.21260959050431655,3.7463499104269466,3.3281912739566737,2.20008195773888,2.1333657718400745,2.42165906921549,1.7033140316555813,2.491384021961222,2.371808183156704,2.7659295966356128,2.9415017910209307,2.5749065766849815,Symptomatic,1
